Family	Known Compounds
Connaraceae	14
Goupiaceae	14
Helicobacteraceae	14
Helioporidae	14
Hymenophytaceae	14
Hypneaceae	14
Lagynidae	14
Leucobryaceae	14
Lindsaeaceae	14
Nanodeaceae	14
Nephrolepidaceae	14
Ophioparmaceae	14
Pentatomidae	14
Pezizaceae	14
Phymatellidae	14
Physeteridae	14
Pieridae	14
Pinnidae	14
Plagiogyriaceae	14
Pseudophasmatidae	14
Ptilidiaceae	14
Rhachidosoraceae	14
Scolopendridae	14
Sphaerophoraceae	14
Syllidae	14
Targioniaceae	14
Viperidae	14
Actinopolysporaceae	13
Anemiaceae	13
Antipathidae	13
Ascoseiraceae	13
Byssolomataceae	13
Cionidae	13
Cryptosulidae	13
Delitschiaceae	13
Dermacoccaceae	13
Diapensiaceae	13
Electridae	13
Hedwigiaceae	13
Marginellidae	13
Neopeltidae	13
Palmariaceae	13
Pandaceae	13
Paralichthyidae	13
Phyllophoridae	13
Propionibacteriaceae	13
Pylaisiadelphaceae	13
Shewanellaceae	13
Solanderiidae	13
Syngnathidae	13
Testudinaceae	13
Tubeufiaceae	13
Velutinidae	13
Vibrisseaceae	13
Anthocerotaceae	12
Astroscleridae	12
Candonidae	12
Cephaloziaceae	12
Chlorobiaceae	12
Didymochlaenaceae	12
Ditrichaceae	12
Ectothiorhodospiraceae	12
Lepicoleaceae	12
Methanobacteriaceae	12
Mopaliidae	12
Morosphaeriaceae	12
Myriopathidae	12
Pectobacteriaceae	12
Phacidiaceae	12
Polymastiidae	12
Scutellidae	12
Sparassidaceae	12
Strongylocentrotidae	12
Veronicellidae	12
Ximeniaceae	12
Amblystegiaceae	11
Archasteridae	11
Bullidae	11
Choanephoraceae	11
Chordaceae	11
Colwelliaceae	11
Corallistidae	11
Drosophyllaceae	11
Dytiscidae	11
Fissidentaceae	11
Fringillidae	11
Grimmiaceae	11
Hormaphididae	11
Hyponectriaceae	11
Ligiidae	11
Lymantriidae	11
Microteaceae	11
Noelaerhabdaceae	11
Ophioceraceae	11
Orthotrichaceae	11
Plagiotheciaceae	11
Polyceridae	11
Pyrrhocoridae	11
Ralfsiaceae	11
Reticulariaceae	11
Rhabdoweisiaceae	11
